City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vao,NC,80.08,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
5,New Norfolk,AU,72.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
7,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
8,Piacabucu,BR,79.36,broken clouds,-10.4056,-36.4344,Piaçabuçu News
10,Mount Gambier,AU,80.51,clear sky,-37.8333,140.7667,The Commodore
12,Simoes,BR,71.08,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
14,Rikitea,PF,79.18,clear sky,-23.1203,-134.9692,People ThankYou
19,Okato,NZ,71.69,overcast clouds,-39.2,173.8833,Goodin Country Garden
20,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
23,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Villa Enata
24,Hobart,AU,73.02,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
28,Busselton,AU,70.09,broken clouds,-33.65,115.3333,Observatory Guest House
31,Zhuhai,CN,73.78,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
32,Lahaina,US,78.8,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
37,Sorong,ID,81.34,light rain,-0.8833,131.25,Waigo Splash Hotel
40,Guangzhou,CN,72.0,scattered clouds,23.1167,113.25,Shangjiuwan Hotel
41,Marawi,PH,72.64,broken clouds,7.9986,124.2928,Derogongan Residence
48,Bengkulu,ID,83.44,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
52,Cururupu,BR,75.43,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
60,Arraial Do Cabo,BR,74.59,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
64,Sao Felix Do Xingu,BR,71.24,moderate rain,-6.6447,-51.995,Rio Xingu Camping
66,Axim,GH,77.7,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
74,Nanakuli,US,79.03,clear sky,21.3906,-158.1547,Camp Pālehua
79,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
91,Biak,ID,80.26,overcast clouds,-0.9131,122.8766,Penginapan Kim
93,Sitio Novo Do Tocantins,BR,78.73,scattered clouds,-5.5183,-47.4611,Imperial Hotel
97,Butaritari,KI,82.36,light rain,3.0707,172.7902,Isles Sunset Lodge
98,Totness,SR,74.97,scattered clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
100,Quatre Cocos,MU,79.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
101,Kahului,US,78.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
103,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
105,Kalmunai,LK,77.97,overcast clouds,7.4167,81.8167,VS Villa
106,Atambua,ID,81.09,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
109,Lakatoro,VU,84.16,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
112,Puerto Ayora,EC,72.55,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Rio Grande,BR,75.31,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
115,Allapalli,IN,73.83,overcast clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
127,Port Alfred,ZA,71.65,few clouds,-33.5906,26.891,The Halyards Hotel
133,Pedernales,DO,76.77,clear sky,18.0384,-71.744,Hotel Costa Marina
138,Mahebourg,MU,79.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
139,Chuy,UY,71.1,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
