City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,40,4.61,scattered clouds
1,Bredasdorp,ZA,-34.5322,20.0403,65.28,95,9,3.02,clear sky
2,Vao,NC,-22.6667,167.4833,80.08,83,100,11.48,overcast clouds
3,Mar Del Plata,AR,-38.0023,-57.5575,63.09,74,100,24.0,overcast clouds
4,East London,ZA,-33.0153,27.9116,68.94,94,20,2.3,few clouds
5,New Norfolk,AU,-42.7826,147.0587,72.66,28,6,1.99,clear sky
6,Mataura,NZ,-46.1927,168.8643,59.49,45,78,9.33,broken clouds
7,Saint-Philippe,RE,-21.3585,55.7679,78.39,69,64,5.68,broken clouds
8,Piacabucu,BR,-10.4056,-36.4344,79.36,82,83,10.18,broken clouds
9,Naze,JP,28.3667,129.4833,56.32,77,93,9.26,overcast clouds
10,Mount Gambier,AU,-37.8333,140.7667,80.51,29,3,6.91,clear sky
11,Hamilton,US,39.1834,-84.5333,43.43,89,100,9.22,light rain
12,Simoes,BR,-7.5989,-40.8178,71.08,82,73,1.05,broken clouds
13,Verkhnyaya Toyma,RU,62.2349,44.9985,11.59,100,99,3.02,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,79.18,74,5,16.93,clear sky
15,Requena,ES,39.4883,-1.1004,39.79,80,53,1.25,broken clouds
16,Yulara,AU,-25.2406,130.9889,91.24,19,0,8.05,clear sky
17,Lagoa,PT,39.05,-27.9833,59.29,79,93,17.0,overcast clouds
18,Kruisfontein,ZA,-34.0033,24.7314,61.29,77,0,4.03,clear sky
19,Okato,NZ,-39.2,173.8833,71.69,98,100,7.83,overcast clouds
20,Avarua,CK,-21.2078,-159.775,82.45,74,83,8.05,broken clouds
21,Jalu,LY,29.0331,21.5482,49.98,58,0,6.71,clear sky
22,Cape Town,ZA,-33.9258,18.4232,66.88,83,0,14.97,clear sky
23,Atuona,PF,-9.8,-139.0333,78.08,75,8,12.77,clear sky
24,Hobart,AU,-42.8794,147.3294,73.02,43,20,12.66,few clouds
25,Cabo San Lucas,MX,22.8909,-109.9124,68.5,72,0,0.0,clear sky
26,Sheboygan,US,43.7333,-87.9334,26.42,64,100,19.57,overcast clouds
27,Wajid,SO,3.8093,43.2471,67.93,73,15,15.59,few clouds
28,Busselton,AU,-33.65,115.3333,70.09,64,58,15.03,broken clouds
29,Severo-Kurilsk,RU,50.6789,156.125,27.45,75,95,9.17,overcast clouds
30,Alamosa,US,37.4695,-105.87,35.11,50,0,4.61,clear sky
31,Zhuhai,CN,22.2769,113.5678,73.78,82,40,5.75,scattered clouds
32,Lahaina,US,20.8783,-156.6825,78.8,80,13,4.41,few clouds
33,Hermanus,ZA,-34.4187,19.2345,65.8,90,28,8.97,scattered clouds
34,Norman Wells,CA,65.282,-126.8329,-25.56,68,20,2.3,few clouds
35,Ushuaia,AR,-54.8,-68.3,51.46,93,75,12.66,broken clouds
36,Taksimo,RU,56.3444,114.8794,-13.05,87,34,1.1,scattered clouds
37,Sorong,ID,-0.8833,131.25,81.34,78,63,4.16,light rain
38,Poum,NC,-20.2333,164.0167,81.61,76,84,8.97,broken clouds
39,Mount Pleasant,US,32.7941,-79.8626,50.0,75,0,0.0,clear sky
40,Guangzhou,CN,23.1167,113.25,72.0,57,31,5.55,scattered clouds
41,Marawi,PH,7.9986,124.2928,72.64,68,63,6.13,broken clouds
42,Ancud,CL,-41.8697,-73.8203,54.93,81,69,4.54,broken clouds
43,Nizhniy Kuranakh,RU,58.8353,125.4869,-9.0,91,100,3.89,overcast clouds
44,Jamestown,US,42.097,-79.2353,44.1,68,100,11.5,overcast clouds
45,Baykit,RU,61.67,96.37,-3.15,90,10,0.92,clear sky
46,Roald,NO,62.5833,6.1333,39.34,87,100,21.85,overcast clouds
47,San Cristobal,VE,7.7669,-72.225,69.98,84,84,0.72,broken clouds
48,Bengkulu,ID,-3.8004,102.2655,83.44,62,100,4.03,overcast clouds
49,Luderitz,NA,-26.6481,15.1594,74.1,69,35,5.95,scattered clouds
50,Pinawa,CA,50.1489,-95.8811,-31.18,100,28,3.09,scattered clouds
51,Vaini,TO,-21.2,-175.2,86.16,84,20,9.22,few clouds
52,Cururupu,BR,-1.8283,-44.8683,75.43,94,100,3.27,overcast clouds
53,Dover,US,39.1582,-75.5244,55.58,47,0,16.11,clear sky
54,Punta Arenas,CL,-53.15,-70.9167,55.51,82,75,26.46,light rain
55,Khatanga,RU,71.9667,102.5,-2.81,85,96,12.64,overcast clouds
56,Rawson,AR,-43.3002,-65.1023,62.15,49,87,16.37,overcast clouds
57,Bilibino,RU,68.0546,166.4372,-31.56,100,62,1.16,broken clouds
58,Saldanha,ZA,-33.0117,17.9442,62.65,94,70,10.49,broken clouds
59,Jurado,CO,7.1053,-77.7641,75.65,92,95,3.85,light rain
60,Arraial Do Cabo,BR,-22.9661,-42.0278,74.59,84,100,0.94,overcast clouds
61,Muros,ES,42.7762,-9.0603,51.24,96,8,2.91,clear sky
62,Madaoua,NE,14.073,5.96,58.93,17,0,10.38,clear sky
63,Bud,US,39.447,-86.1758,39.69,95,95,14.34,overcast clouds
64,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.24,99,100,0.85,moderate rain
65,Nyurba,RU,63.2842,118.3319,-7.24,95,94,3.38,overcast clouds
66,Axim,GH,4.8699,-2.2405,77.7,89,58,4.72,broken clouds
67,Rapid City,US,44.0805,-103.231,25.56,81,0,9.22,clear sky
68,Tasiilaq,GL,65.6145,-37.6368,12.36,64,95,3.67,overcast clouds
69,Licheng,CN,23.2955,113.8284,62.53,62,51,2.46,broken clouds
70,Camacha,PT,33.0833,-16.3333,60.22,82,75,12.66,broken clouds
71,Saskylakh,RU,71.9167,114.0833,2.46,86,85,12.66,overcast clouds
72,Sandpoint,US,48.2766,-116.5533,36.68,80,0,0.0,clear sky
73,Vila,PT,42.0304,-8.1588,42.33,91,39,2.55,scattered clouds
74,Nanakuli,US,21.3906,-158.1547,79.03,60,0,8.05,clear sky
75,Castro,BR,-24.7911,-50.0119,58.15,97,7,5.37,clear sky
76,Homer,US,59.6425,-151.5483,30.79,79,100,17.0,overcast clouds
77,Port-Cartier,CA,50.0334,-66.8654,16.75,96,100,9.24,snow
78,Taoudenni,ML,22.6783,-3.9836,58.19,27,5,10.13,clear sky
79,Hilo,US,19.7297,-155.09,76.73,71,100,5.75,overcast clouds
80,Lebu,CL,-37.6167,-73.65,56.79,83,0,15.9,clear sky
81,Katsuura,JP,35.1333,140.3,44.71,48,61,6.69,broken clouds
82,Barrow,US,71.2906,-156.7887,-36.38,100,0,6.91,haze
83,Isangel,VU,-19.55,169.2667,87.91,79,75,6.91,broken clouds
84,Lavrentiya,RU,65.5833,-171.0,-25.08,93,9,8.05,clear sky
85,Albany,US,42.6001,-73.9662,49.73,57,100,1.01,overcast clouds
86,Kodiak,US,57.79,-152.4072,36.91,93,100,5.75,mist
87,Necochea,AR,-38.5473,-58.7368,55.04,61,91,11.05,overcast clouds
88,Paternion,AT,46.7142,13.6361,33.33,87,4,4.5,clear sky
89,Qaanaaq,GL,77.484,-69.3632,-23.06,50,0,6.91,clear sky
90,Sur,OM,22.5667,59.5289,68.97,50,0,3.6,clear sky
91,Biak,ID,-0.9131,122.8766,80.26,78,92,5.3,overcast clouds
92,Megion,RU,61.0296,76.1136,-10.98,99,48,10.92,scattered clouds
93,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,78.73,89,40,3.44,scattered clouds
94,Fort Morgan,US,40.2503,-103.8,29.05,59,100,17.27,overcast clouds
95,Nome,US,64.5011,-165.4064,1.47,55,0,13.8,clear sky
96,Leningradskiy,RU,69.3833,178.4167,-19.95,98,94,4.88,overcast clouds
97,Butaritari,KI,3.0707,172.7902,82.36,77,90,16.8,light rain
98,Totness,SR,5.8833,-56.3167,74.97,90,42,8.32,scattered clouds
99,Niquelandia,BR,-14.4739,-48.4597,69.12,92,95,1.16,overcast clouds
100,Quatre Cocos,MU,-20.2078,57.7625,79.09,74,66,5.35,broken clouds
101,Kahului,US,20.8947,-156.47,78.82,69,20,8.05,few clouds
102,Sangar,RU,63.9242,127.4739,-25.02,97,99,1.14,overcast clouds
103,Vila Velha,BR,-20.3297,-40.2925,73.35,96,75,3.44,broken clouds
104,Abbeville,FR,50.1,1.8333,35.49,88,99,7.27,overcast clouds
105,Kalmunai,LK,7.4167,81.8167,77.97,87,98,5.35,overcast clouds
106,Atambua,ID,-9.1061,124.8925,81.09,77,93,2.37,overcast clouds
107,Vestmannaeyjar,IS,63.4427,-20.2734,32.61,69,100,3.27,overcast clouds
108,Vaureal,FR,49.0333,2.0333,36.37,93,100,3.44,overcast clouds
109,Lakatoro,VU,-16.0999,167.4164,84.16,75,94,8.75,overcast clouds
110,Skelleftea,SE,64.7507,20.9528,16.16,92,54,8.05,broken clouds
111,Cherskiy,RU,68.75,161.3,-31.45,99,100,6.55,overcast clouds
